time,heartRate,hydration
2026-01-25D03:10:53.000000000,67,60.96
2026-01-25D03:11:38.000000000,70,61.75
2026-01-25D03:14:19.000000000,58,60.61
2026-01-25D03:14:38.000000000,59,61.7
2026-01-25D03:15:47.000000000,61,60.53
2026-01-25D03:16:00.000000000,63,63.16
2026-01-25D03:18:13.000000000,60,65.01
2026-01-25D03:20:33.000000000,60,64.98
2026-01-25D03:21:40.000000000,58,61.09
2026-01-25D03:24:03.000000000,62,62.17
2026-01-25D03:25:28.000000000,58,58.91
2026-01-25D03:28:15.000000000,67,61.57
2026-01-25D03:33:08.000000000,64,58.55
2026-01-25D03:37:33.000000000,62,61.29
2026-01-25D03:41:28.000000000,64,59.28
2026-01-25D03:42:13.000000000,64,61.35
2026-01-25D03:42:45.000000000,62,58.78
2026-01-25D03:45:04.000000000,69,60.5
2026-01-25D03:48:29.000000000,69,58.22
2026-01-25D03:53:01.000000000,67,58.48
2026-01-25D03:53:38.000000000,65,59.57
2026-01-25D03:54:30.000000000,71,62.22
2026-01-25D03:55:36.000000000,67,62.04
2026-01-25D03:59:16.000000000,69,57.95
2026-01-25D04:04:13.000000000,62,58.54
2026-01-25D04:05:56.000000000,62,62.05
2026-01-25D04:08:52.000000000,69,58.24
2026-01-25D04:12:30.000000000,66,61.04
2026-01-25D04:13:09.000000000,67,60.73
2026-01-25D04:17:00.000000000,60,61.28
2026-01-25D04:18:45.000000000,63,58.72
2026-01-25D04:21:00.000000000,66,60.02
2026-01-25D04:25:21.000000000,69,57.52
2026-01-25D04:25:30.000000000,68,60.52
2026-01-25D04:29:12.000000000,69,63.22
2026-01-25D04:33:31.000000000,72,56.76
2026-01-25D04:38:18.000000000,69,60.23
2026-01-25D04:41:49.000000000,70,59.32
2026-01-25D04:42:08.000000000,71,59.42
2026-01-25D04:42:54.000000000,73,59.86
2026-01-25D04:45:57.000000000,73,59.13
2026-01-25D04:47:04.000000000,70,58.33
2026-01-25D04:50:59.000000000,72,60.91
2026-01-25D04:55:04.000000000,70,58.59
2026-01-25D04:56:00.000000000,69,58.61
2026-01-25D04:57:40.000000000,67,58.34
2026-01-25D05:01:26.000000000,69,56.97
2026-01-25D05:05:21.000000000,66,59.46
2026-01-25D05:09:22.000000000,76,55.3
2026-01-25D05:11:49.000000000,75,58.57
2026-01-25D05:14:44.000000000,72,60.09
2026-01-25D05:15:17.000000000,67,56.08
2026-01-25D05:15:57.000000000,75,55.65
2026-01-25D05:16:14.000000000,72,54.95
2026-01-25D05:18:58.000000000,68,55.25
2026-01-25D05:22:09.000000000,78,54.3
2026-01-25D05:26:16.000000000,71,54.91
2026-01-25D05:27:46.000000000,74,58.51
2026-01-25D05:32:34.000000000,77,54.24
2026-01-25D05:33:44.000000000,65,58.04
2026-01-25D05:36:38.000000000,68,52.59
2026-01-25D05:37:27.000000000,71,57.15
2026-01-25D05:38:33.000000000,99,49.42
2026-01-25D05:40:51.000000000,79,57.08
2026-01-25D05:45:39.000000000,79,55.44
2026-01-25D05:46:11.000000000,71,52.96
2026-01-25D05:48:03.000000000,73,56.71
2026-01-25D05:48:51.000000000,77,53.86
2026-01-25D05:53:41.000000000,72,51.27
2026-01-25D05:55:53.000000000,77,54.23
2026-01-25D05:59:48.000000000,76,51.05
2026-01-25D06:03:02.000000000,74,53.71
2026-01-25D06:06:51.000000000,75,53.19
2026-01-25D06:11:38.000000000,74,53.37
2026-01-25D06:13:43.000000000,80,53.73
2026-01-25D06:15:43.000000000,83,55.25
2026-01-25D06:19:40.000000000,80,52.05
2026-01-25D06:24:03.000000000,83,54.24
2026-01-25D06:27:25.000000000,81,55.42
2026-01-25D06:29:46.000000000,88,51.37
2026-01-25D06:32:35.000000000,80,53.4
2026-01-25D06:36:24.000000000,69,52.8
2026-01-25D06:40:22.000000000,77,52.96
2026-01-25D06:43:18.000000000,79,49.48
2026-01-25D06:45:54.000000000,75,54.56
2026-01-25D06:48:38.000000000,82,52.11
2026-01-25D06:50:18.000000000,83,50.19
2026-01-25D06:54:15.000000000,82,52.49
2026-01-25D06:57:19.000000000,77,51.85
2026-01-25D06:59:16.000000000,79,53.84
2026-01-25D07:00:12.000000000,84,51
2026-01-25D07:04:44.000000000,85,51.3
2026-01-25D07:09:43.000000000,89,49.59
2026-01-25D07:11:40.000000000,83,49.12
2026-01-25D07:13:25.000000000,86,52.71
2026-01-25D07:15:22.000000000,77,52.56
2026-01-25D07:16:47.000000000,81,51.42
2026-01-25D07:19:58.000000000,75,49.98
2026-01-25D07:21:55.000000000,79,51.88
2026-01-25D07:22:01.000000000,82,51.47
2026-01-25D07:24:15.000000000,86,50.5
2026-01-25D07:27:59.000000000,81,54.18
2026-01-25D07:28:57.000000000,73,49.35
2026-01-25D07:32:45.000000000,88,49.96
2026-01-25D07:36:34.000000000,85,48
2026-01-25D07:38:44.000000000,80,49.95
2026-01-25D07:40:58.000000000,80,54.05
2026-01-25D07:41:55.000000000,83,49.46
2026-01-25D07:44:51.000000000,87,49.61
2026-01-25D07:48:33.000000000,90,51.72
2026-01-25D07:51:17.000000000,83,47.07
2026-01-25D07:54:39.000000000,82,47.62
2026-01-25D07:58:50.000000000,83,51.83
2026-01-25D08:02:17.000000000,84,51.12
2026-01-25D08:05:25.000000000,90,46.04
2026-01-25D08:07:32.000000000,83,53.81
2026-01-25D08:11:51.000000000,86,51.3
2026-01-25D08:16:49.000000000,78,48.98
2026-01-25D08:21:33.000000000,86,49.11
2026-01-25D08:23:15.000000000,95,49.44
2026-01-25D08:26:37.000000000,86,50.34
2026-01-25D08:30:41.000000000,87,51.94
2026-01-25D08:33:09.000000000,82,50.16
2026-01-25D08:34:50.000000000,86,48.52
2026-01-25D08:38:15.000000000,92,49.28
2026-01-25D08:40:23.000000000,88,48.89
2026-01-25D08:43:34.000000000,83,48.27
2026-01-25D08:47:57.000000000,86,45.96
2026-01-25D08:50:29.000000000,89,44.35
2026-01-25D08:54:45.000000000,93,44.68
2026-01-25D08:57:16.000000000,85,46.56
2026-01-25D08:59:48.000000000,96,47.63
2026-01-25D09:03:11.000000000,88,45.66
2026-01-25D09:05:23.000000000,92,45.32
2026-01-25D09:06:06.000000000,88,48.8
2026-01-25D09:08:19.000000000,93,49.33
2026-01-25D09:12:50.000000000,88,48.28
2026-01-25D09:15:25.000000000,88,47.91
2026-01-25D09:17:08.000000000,80,48.61
2026-01-25D09:21:35.000000000,88,49.2
2026-01-25D09:25:51.000000000,98,45.24
2026-01-25D09:28:19.000000000,87,48.59
2026-01-25D09:30:15.000000000,85,47.02
2026-01-25D09:31:19.000000000,90,45.96
2026-01-25D09:31:25.000000000,95,47.34
2026-01-25D09:35:43.000000000,91,46.53
2026-01-25D09:38:07.000000000,92,50.94
2026-01-25D09:38:48.000000000,93,45.1
2026-01-25D09:41:32.000000000,95,47.55
2026-01-25D09:41:45.000000000,90,47.01
2026-01-25D09:45:42.000000000,92,47.26
2026-01-25D09:47:25.000000000,90,49.68
2026-01-25D09:49:56.000000000,91,44.5
2026-01-25D09:53:28.000000000,87,47.88
2026-01-25D09:55:43.000000000,91,46.51
2026-01-25D09:58:19.000000000,94,46.09
2026-01-25D09:59:17.000000000,91,45.66
2026-01-25D10:01:21.000000000,89,45.34
2026-01-25D10:04:06.000000000,85,45.54
2026-01-25D10:06:06.000000000,94,47.28
2026-01-25D10:07:25.000000000,93,51.15
2026-01-25D10:09:22.000000000,92,46.44
2026-01-25D10:11:10.000000000,94,50.74
2026-01-25D10:15:28.000000000,95,47.35
2026-01-25D10:19:19.000000000,98,47.21
2026-01-25D10:21:15.000000000,89,45.65
2026-01-25D10:22:58.000000000,92,46.43
2026-01-25D10:25:35.000000000,97,46.96
2026-01-25D10:28:53.000000000,86,50.19
2026-01-25D10:31:40.000000000,98,49.32
2026-01-25D10:35:12.000000000,91,46.13
2026-01-25D10:38:05.000000000,87,43.99
2026-01-25D10:40:50.000000000,93,47.32
2026-01-25D10:42:02.000000000,93,50.08
2026-01-25D10:46:55.000000000,97,46.57
2026-01-25D10:51:36.000000000,94,44.73
2026-01-25D10:53:55.000000000,92,42.29
2026-01-25D10:57:14.000000000,92,49.81
2026-01-25D10:59:26.000000000,95,45.7
2026-01-25D11:00:03.000000000,95,47.04
2026-01-25D11:03:03.000000000,95,43.8
2026-01-25D11:03:29.000000000,93,44.57
2026-01-25D11:07:31.000000000,98,43.6
2026-01-25D11:10:13.000000000,93,48.11
2026-01-25D11:10:55.000000000,98,40.45
2026-01-25D11:14:49.000000000,100,43.24
2026-01-25D11:15:44.000000000,96,44.22
2026-01-25D11:20:12.000000000,92,45.94
2026-01-25D11:24:59.000000000,97,46.59
2026-01-25D11:25:30.000000000,94,43.09
2026-01-25D11:29:20.000000000,95,48.11
2026-01-25D11:34:01.000000000,90,48.76
2026-01-25D11:38:51.000000000,96,45.71
2026-01-25D11:40:32.000000000,94,44.11
2026-01-25D11:45:20.000000000,96,41.93
2026-01-25D11:47:51.000000000,88,44.29
2026-01-25D11:47:59.000000000,94,47.84
2026-01-25D11:48:38.000000000,87,45.09
2026-01-25D11:51:54.000000000,96,47.69
2026-01-25D11:52:47.000000000,99,43.1
2026-01-25D11:53:08.000000000,96,42.47
2026-01-25D11:56:04.000000000,93,43.46
2026-01-25D11:59:48.000000000,99,45.58
2026-01-25D12:02:30.000000000,96,43.11
2026-01-25D12:03:20.000000000,90,43.89
2026-01-25D12:03:30.000000000,96,43.24
2026-01-25D12:05:13.000000000,93,42
2026-01-25D12:09:10.000000000,86,46.34
2026-01-25D12:09:51.000000000,93,42.91
2026-01-25D12:14:35.000000000,97,49.34
2026-01-25D12:17:40.000000000,92,47.97
2026-01-25D12:19:19.000000000,90,46.4
2026-01-25D12:21:02.000000000,93,46.38
2026-01-25D12:24:14.000000000,93,45.58
2026-01-25D12:26:14.000000000,92,44.52
2026-01-25D12:29:29.000000000,96,46.54
2026-01-25D12:33:46.000000000,91,44.23
2026-01-25D12:36:31.000000000,98,45.84
2026-01-25D12:40:51.000000000,94,43.77
2026-01-25D12:43:03.000000000,93,44.67
2026-01-25D12:43:25.000000000,86,44.93
2026-01-25D12:48:10.000000000,91,46.64
2026-01-25D12:51:57.000000000,98,46.05
2026-01-25D12:52:55.000000000,95,43.07
2026-01-25D12:53:57.000000000,91,47.11
2026-01-25D12:56:55.000000000,101,43.4
2026-01-25D13:01:39.000000000,95,47.6
2026-01-25D13:03:37.000000000,100,45.74
2026-01-25D13:08:29.000000000,96,43.36
2026-01-25D13:11:04.000000000,95,45.71
2026-01-25D13:13:15.000000000,96,44.5
2026-01-25D13:15:54.000000000,92,43.94
2026-01-25D13:20:31.000000000,96,47.31
2026-01-25D13:22:19.000000000,92,44.67
2026-01-25D13:26:29.000000000,89,45.69
2026-01-25D13:29:29.000000000,94,43.52
2026-01-25D13:30:12.000000000,89,46.38
2026-01-25D13:33:06.000000000,87,46.64
2026-01-25D13:37:17.000000000,96,46.92
2026-01-25D13:37:47.000000000,96,44.52
2026-01-25D13:38:04.000000000,98,43.42
2026-01-25D13:38:44.000000000,90,45.99
2026-01-25D13:41:41.000000000,91,48.19
2026-01-25D13:42:05.000000000,95,46.3
2026-01-25D13:46:33.000000000,91,48.3
2026-01-25D13:48:59.000000000,88,45.32
2026-01-25D13:51:26.000000000,90,44.11
2026-01-25D13:53:02.000000000,87,43.4
2026-01-25D13:57:54.000000000,91,48.46
2026-01-25D14:01:33.000000000,102,48.58
2026-01-25D14:02:28.000000000,85,46.48
2026-01-25D14:05:05.000000000,86,46.03
2026-01-25D14:08:15.000000000,105,47.66
2026-01-25D14:09:22.000000000,95,48.36
2026-01-25D14:12:36.000000000,95,47.79
2026-01-25D14:14:45.000000000,90,46
2026-01-25D14:17:19.000000000,90,48.45
2026-01-25D14:18:21.000000000,93,49.83
2026-01-25D14:21:25.000000000,91,43.93
2026-01-25D14:24:19.000000000,94,49.3
2026-01-25D14:28:54.000000000,84,48.07
2026-01-25D14:29:52.000000000,89,47.05
2026-01-25D14:31:37.000000000,91,45.52
2026-01-25D14:36:05.000000000,88,46.55
2026-01-25D14:37:02.000000000,95,47.96
2026-01-25D14:38:06.000000000,95,47.23
2026-01-25D14:39:58.000000000,89,49.31
2026-01-25D14:40:07.000000000,95,46.11
2026-01-25D14:41:54.000000000,84,46.79
2026-01-25D14:45:14.000000000,81,44.94
2026-01-25D14:49:40.000000000,91,48.81
2026-01-25D14:50:31.000000000,83,45.96
2026-01-25D14:52:59.000000000,90,49.52
2026-01-25D14:57:32.000000000,90,48.97
2026-01-25D14:59:40.000000000,86,47.43
2026-01-25D15:01:30.000000000,92,46.52
2026-01-25D15:04:12.000000000,90,50.16
2026-01-25D15:06:43.000000000,90,47.57
2026-01-25D15:09:12.000000000,88,49.65
2026-01-25D15:11:16.000000000,84,50.5
2026-01-25D15:15:55.000000000,91,51.28
2026-01-25D15:17:31.000000000,90,50.63
2026-01-25D15:18:33.000000000,91,47.23
2026-01-25D15:22:26.000000000,94,48.64
2026-01-25D15:24:27.000000000,94,52.04
2026-01-25D15:29:10.000000000,91,50.59
2026-01-25D15:31:21.000000000,96,48.74
2026-01-25D15:33:34.000000000,90,47.93
2026-01-25D15:34:36.000000000,89,47.76
2026-01-25D15:36:42.000000000,88,49.16
2026-01-25D15:36:47.000000000,86,45.75
2026-01-25D15:40:50.000000000,88,49.36
2026-01-25D15:45:44.000000000,87,46.76
2026-01-25D15:47:24.000000000,85,46.09
2026-01-25D15:49:34.000000000,86,50.55
2026-01-25D15:51:36.000000000,88,51.41
2026-01-25D15:52:28.000000000,82,49.35
2026-01-25D15:54:01.000000000,91,45.79
2026-01-25D15:58:02.000000000,85,47.94
2026-01-25D16:02:38.000000000,87,49.96
2026-01-25D16:05:51.000000000,84,49.22
2026-01-25D16:09:07.000000000,89,51.82
2026-01-25D16:10:20.000000000,111,45.9
2026-01-25D16:15:02.000000000,87,49.85
2026-01-25D16:19:13.000000000,85,47.42
2026-01-25D16:20:33.000000000,95,47.7
2026-01-25D16:23:11.000000000,80,48.76
2026-01-25D16:25:39.000000000,84,51.59
2026-01-25D16:27:09.000000000,79,53.41
2026-01-25D16:30:18.000000000,84,52.45
2026-01-25D16:35:07.000000000,82,54.72
2026-01-25D16:38:51.000000000,87,52.48
2026-01-25D16:40:04.000000000,78,53.29
2026-01-25D16:40:55.000000000,84,51.86
2026-01-25D16:42:33.000000000,79,56.16
2026-01-25D16:46:35.000000000,76,50.85
2026-01-25D16:50:03.000000000,75,50.73
2026-01-25D16:53:45.000000000,72,51.58
2026-01-25D16:54:28.000000000,84,52.22
2026-01-25D16:56:12.000000000,76,52.16
2026-01-25D17:01:05.000000000,92,47.39
2026-01-25D17:05:23.000000000,81,50.52
2026-01-25D17:09:09.000000000,78,50.57
2026-01-25D17:09:36.000000000,75,54.07
2026-01-25D17:13:50.000000000,84,53
2026-01-25D17:14:04.000000000,81,54.9
2026-01-25D17:18:14.000000000,75,55.83
2026-01-25D17:19:58.000000000,80,53.06
2026-01-25D17:24:52.000000000,76,54.15
2026-01-25D17:27:56.000000000,76,54.47
2026-01-25D17:31:43.000000000,78,51.54
2026-01-25D17:35:57.000000000,80,53.49
2026-01-25D17:38:28.000000000,76,54.05
2026-01-25D17:40:08.000000000,80,56.49
2026-01-25D17:44:29.000000000,78,54.23
2026-01-25D17:44:37.000000000,80,54.13
2026-01-25D17:44:57.000000000,81,50.91
2026-01-25D17:49:41.000000000,76,54.59
2026-01-25D17:53:52.000000000,73,52.84
2026-01-25D17:58:14.000000000,78,53.7
2026-01-25D18:00:58.000000000,66,55.92
2026-01-25D18:03:34.000000000,75,54.14
2026-01-25D18:06:36.000000000,74,53.22
2026-01-25D18:09:23.000000000,77,53.61
2026-01-25D18:10:00.000000000,70,56.34
2026-01-25D18:13:03.000000000,75,59.22
2026-01-25D18:14:48.000000000,78,52.77
2026-01-25D18:19:20.000000000,74,54.54
2026-01-25D18:20:29.000000000,79,52.95
2026-01-25D18:23:21.000000000,81,59.29
2026-01-25D18:24:08.000000000,72,55.8
2026-01-25D18:24:56.000000000,75,56.99
2026-01-25D18:29:45.000000000,71,58.85
2026-01-25D18:30:01.000000000,71,54.14
2026-01-25D18:31:40.000000000,72,57.99
2026-01-25D18:35:57.000000000,74,52.04
2026-01-25D18:40:03.000000000,72,54.23
2026-01-25D18:40:42.000000000,66,55.63
2026-01-25D18:44:21.000000000,69,56.18
2026-01-25D18:45:55.000000000,76,57.72
2026-01-25D18:50:23.000000000,70,56.58
2026-01-25D18:52:00.000000000,74,58.74
2026-01-25D18:53:34.000000000,79,56.59
2026-01-25D18:55:33.000000000,70,60.85
2026-01-25D18:57:22.000000000,73,57.36
2026-01-25D19:00:42.000000000,67,59.18
2026-01-25D19:02:40.000000000,66,60.23
2026-01-25D19:03:59.000000000,59,57.74
2026-01-25D19:07:40.000000000,67,56.62
2026-01-25D19:12:21.000000000,61,58.91
2026-01-25D19:16:34.000000000,64,60.42
2026-01-25D19:19:22.000000000,74,56.03
2026-01-25D19:22:38.000000000,70,59.24
2026-01-25D19:26:29.000000000,72,57.89
2026-01-25D19:29:30.000000000,68,59.3
2026-01-25D19:31:13.000000000,62,57.79
2026-01-25D19:31:53.000000000,61,58.07
2026-01-25D19:33:33.000000000,68,62.94
2026-01-25D19:36:09.000000000,69,61.04
2026-01-25D19:38:44.000000000,70,58.11
2026-01-25D19:41:58.000000000,59,57.92
2026-01-25D19:45:46.000000000,67,58.97
2026-01-25D19:46:27.000000000,63,57.89
2026-01-25D19:50:59.000000000,69,59.25
2026-01-25D19:54:06.000000000,70,59.68
2026-01-25D19:54:23.000000000,60,60.01
2026-01-25D19:59:06.000000000,66,58.53
2026-01-25D20:02:47.000000000,63,59.64
2026-01-25D20:07:37.000000000,65,59.68
2026-01-25D20:12:14.000000000,63,61.5
2026-01-25D20:13:20.000000000,61,59.38
2026-01-25D20:14:48.000000000,61,58
2026-01-25D20:18:29.000000000,60,61.44
2026-01-25D20:21:40.000000000,61,61.73
2026-01-25D20:22:03.000000000,63,58.99
2026-01-25D20:25:04.000000000,71,62.49
2026-01-25D20:26:48.000000000,59,59.67
2026-01-25D20:30:45.000000000,60,62.95
2026-01-25D20:32:05.000000000,63,59.75
2026-01-25D20:36:34.000000000,60,58.7
2026-01-25D20:41:22.000000000,53,65.71
2026-01-25D20:44:52.000000000,63,60.66
2026-01-25D20:48:39.000000000,58,60.49
2026-01-25D20:49:35.000000000,63,59.53
2026-01-25D20:52:03.000000000,66,58.09
2026-01-25D20:53:16.000000000,62,62.17
2026-01-25D20:54:59.000000000,62,62.38
2026-01-25D20:55:28.000000000,52,59.61
2026-01-25D20:56:25.000000000,61,59.92
2026-01-25D20:59:00.000000000,59,61.56
2026-01-25D21:01:28.000000000,60,62.91
2026-01-25D21:02:29.000000000,58,62.65
2026-01-25D21:03:12.000000000,58,61.19
2026-01-25D21:05:05.000000000,56,62.69
2026-01-25D21:08:10.000000000,62,68.01
2026-01-25D21:08:56.000000000,64,63.02
2026-01-25D21:12:06.000000000,65,62.3
2026-01-25D21:15:53.000000000,58,62.28
2026-01-25D21:17:59.000000000,60,60.01
2026-01-25D21:20:16.000000000,56,62.11
2026-01-25D21:23:03.000000000,58,62.39
2026-01-25D21:26:42.000000000,86,63.99
2026-01-25D21:30:27.000000000,60,63.15
2026-01-25D21:34:26.000000000,59,64.72
2026-01-25D21:36:56.000000000,56,63.84
2026-01-25D21:40:59.000000000,55,57.9
2026-01-25D21:42:19.000000000,63,60.56
2026-01-25D21:42:32.000000000,64,61.63
2026-01-25D21:43:50.000000000,59,62.19
2026-01-25D21:48:07.000000000,54,60.72
2026-01-25D21:52:01.000000000,57,66.85
2026-01-25D21:52:12.000000000,57,63.53
2026-01-25D21:55:10.000000000,61,63.38
2026-01-25D21:57:35.000000000,63,65.51
2026-01-25D22:00:27.000000000,51,62.93
2026-01-25D22:03:21.000000000,45,62.17
2026-01-25D22:08:08.000000000,62,63.6
2026-01-25D22:10:14.000000000,65,65.48
2026-01-25D22:13:32.000000000,55,65.69
2026-01-25D22:13:41.000000000,53,67.07
2026-01-25D22:14:14.000000000,63,66.37
2026-01-25D22:17:03.000000000,60,62.8
2026-01-25D22:19:23.000000000,56,61.88
2026-01-25D22:21:52.000000000,53,66.19
2026-01-25D22:25:33.000000000,62,61.76
2026-01-25D22:27:49.000000000,47,66.25
2026-01-25D22:32:45.000000000,67,64.26
2026-01-25D22:33:59.000000000,53,63.93
2026-01-25D22:38:15.000000000,59,66.66
2026-01-25D22:42:54.000000000,61,64.46
2026-01-25D22:46:00.000000000,51,67.31
2026-01-25D22:48:51.000000000,58,62.97
2026-01-25D22:50:26.000000000,59,64.36
2026-01-25D22:53:52.000000000,56,67.21
2026-01-25D22:54:15.000000000,49,67.89
2026-01-25D22:54:58.000000000,54,61.46
2026-01-25D22:57:08.000000000,48,61.4
2026-01-25D23:00:05.000000000,53,62.4
2026-01-25D23:02:30.000000000,56,61.03
2026-01-25D23:06:36.000000000,56,64.33
2026-01-25D23:10:20.000000000,58,61.29
2026-01-25D23:12:30.000000000,51,69.43
2026-01-25D23:13:32.000000000,45,67.85
2026-01-25D23:16:04.000000000,55,64.41
2026-01-25D23:16:09.000000000,56,66.72
2026-01-25D23:19:23.000000000,57,65.18
2026-01-25D23:22:38.000000000,63,64.57
2026-01-25D23:24:39.000000000,53,65.73
2026-01-25D23:26:57.000000000,57,61.64
2026-01-25D23:27:59.000000000,57,62.76
2026-01-25D23:28:47.000000000,59,67.04
2026-01-25D23:31:44.000000000,55,64.08
2026-01-25D23:34:28.000000000,61,65.27
2026-01-25D23:37:25.000000000,57,64.58
2026-01-25D23:39:58.000000000,57,63.76
2026-01-25D23:41:22.000000000,56,64.84
2026-01-25D23:44:59.000000000,53,66.13
2026-01-25D23:48:26.000000000,56,64.35
2026-01-25D23:52:42.000000000,55,64.02
2026-01-25D23:56:35.000000000,61,64.57
2026-01-25D23:59:23.000000000,59,66.9
2026-01-25D00:03:14.000000000,54,64.57
2026-01-25D00:05:45.000000000,53,63.34
2026-01-25D00:06:09.000000000,49,63.11
2026-01-25D00:07:00.000000000,59,64.1
2026-01-25D00:10:57.000000000,59,66.22
2026-01-25D00:11:15.000000000,54,66.03
2026-01-25D00:13:42.000000000,45,66.99
2026-01-25D00:13:47.000000000,57,62.78
2026-01-25D00:14:45.000000000,53,64.38
2026-01-25D00:19:08.000000000,45,65.02
2026-01-25D00:21:36.000000000,54,68.91
2026-01-25D00:21:52.000000000,58,65.41
2026-01-25D00:25:40.000000000,59,63.54
2026-01-25D00:30:16.000000000,55,64.82
2026-01-25D00:32:56.000000000,52,60.63
2026-01-25D00:33:08.000000000,57,67.04
2026-01-25D00:35:14.000000000,59,66.95
2026-01-25D00:38:02.000000000,62,65.83
2026-01-25D00:39:36.000000000,63,64.91
2026-01-25D00:41:56.000000000,54,64.15
2026-01-25D00:45:06.000000000,52,68.29
2026-01-25D00:48:08.000000000,59,65.71
2026-01-25D00:48:40.000000000,54,63.92
2026-01-25D00:52:24.000000000,56,66.14
2026-01-25D00:53:09.000000000,58,69.75
2026-01-25D00:57:01.000000000,55,66.65
2026-01-25D01:00:17.000000000,60,64.76
2026-01-25D01:02:46.000000000,55,65.7
2026-01-25D01:06:11.000000000,55,63.67
2026-01-25D01:09:47.000000000,51,67.64
2026-01-25D01:13:31.000000000,50,58.43
2026-01-25D01:17:35.000000000,60,60.32
2026-01-25D01:18:25.000000000,56,66.52
2026-01-25D01:19:04.000000000,58,66.24
2026-01-25D01:23:21.000000000,60,65.34
2026-01-25D01:24:47.000000000,51,64.76
2026-01-25D01:29:07.000000000,55,67.14
2026-01-25D01:32:28.000000000,60,66.94
2026-01-25D01:32:42.000000000,59,64.48
2026-01-25D01:37:32.000000000,57,61.23
2026-01-25D01:41:38.000000000,56,59.51
2026-01-25D01:45:53.000000000,56,65.03
2026-01-25D01:46:02.000000000,60,65.86
2026-01-25D01:48:05.000000000,68,65.69
2026-01-25D01:52:58.000000000,54,65
2026-01-25D01:54:07.000000000,66,63.98
2026-01-25D01:56:37.000000000,52,67.02
2026-01-25D02:00:25.000000000,52,63.93
2026-01-25D02:04:28.000000000,53,66.35
2026-01-25D02:07:29.000000000,66,63.53
2026-01-25D02:12:00.000000000,51,64.21
2026-01-25D02:16:46.000000000,55,62.02
2026-01-25D02:17:53.000000000,57,64.38
2026-01-25D02:21:34.000000000,60,63.83
2026-01-25D02:26:21.000000000,60,61.34
2026-01-25D02:29:22.000000000,59,64.79
2026-01-25D02:31:04.000000000,58,65.5
2026-01-25D02:32:53.000000000,54,61.38
